FishCode,FishCode2,TLEN,FLEN,RWT,Liver,Gonad,Pond,Sex,Stage,Fgut,Egut,Fullness,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_Num,FishTot_mass,ContentMass,Date,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-PP-61,PU-PP-61,30,29,0.415,0.016,<0.001,PP,M,10,0.017,0.012,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20/2/2021,4,1.204819277,1.204819277,T,3
PU-PP-60,PU-PP-60,34,32,0.487,0.011,0.002,PP,F,10,0.021,0.014,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.002,0,0,0,0,0,0,0,0,0,0,0.002,20/2/2021,4,1.437371663,1.848049281,T,2
PU-PP-62,PU-PP-62,33,31,0.485,0.012,0.001,PP,M,10,0.02,0.016,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20/2/2021,4,0.824742268,0.824742268,T,2
PU-GSP-79,PU-GSP-79,37,35,0.676,0.015,0.05,GSP,M,20,0.031,0.026,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.73964497,0.73964497,T,1
PU-GSP-78,PU-GSP-78,39,37,0.842,0.022,0.013,GSP,F,20,0.035,0.03,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.593824228,0.593824228,T,1
PU-KSB-36,PU-KSB-36,41,38,0.986,0.021,0.005,KSB,F,10,0.057,0.039,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.008,0,0,0,0,0,0,0,0,0,0,0.008,11/2/2021,3,1.825557809,2.636916836,T,3
PU-KSB-51,PU-KSB-51,44,41,1.085,0.035,0.002,KSB,M,10,0.045,0.04,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,0,0,0,0,0,0,0,0,0,0,0.001,21/2/21,4,0.460829493,0.552995392,T,2
PU-KSB-52,PU-KSB-52,44,42,1.083,0.027,0.002,KSB,M,10,0.056,0.041,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.004,1,0.001,0,0,0,0,0,0,0,0,0.005,21/2/21,4,1.385041551,1.846722068,T,2
PU-KSB-58,PU-KSB-58,46,44,1.358,0.022,<0.001,KSB,M,10,0.048,0.046,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/3/2021,5,0.147275,0.147275405,T,2
PU-KSB-34,PU-KSB-34,43,40,1.111,0.026,0.001,KSB,M,10,0.05,0.047,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/2/2021,3,0.270027003,0.270027003,T,3
PU-KSB-50,PU-KSB-50,46,44,1.252,0.024,0.005,KSB,F,10,0.059,0.049,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.003,21/2/21,4,0.798722045,1.038338658,T,2
PU-KSB-57,PU-KSB-57,52,49,1.69,0.026,0.002,KSB,M,10,0.057,0.052,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/3/2021,5,0.295858,0.295857988,T,3
PU-KSB-35,PU-KSB-35,47,44,1.54,0.032,0.021,KSB,F,20,0.065,0.054,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.004,0,0,0,0,0,0,0,0,0,0,0.004,11/2/2021,3,0.714285714,0.974025974,T,2
PU-KSB-65,PU-KSB-65,49,46,1.673,0.049,0.001,KSB,M,10,0.07,0.058,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/3/2021,5,0.717274,0.717274357,T,2
PU-KSB-56,PU-KSB-56,51,49,1.845,0.039,0.002,KSB,M,10,0.067,0.063,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,7/3/2021,5,0.216802,0.27100271,T,3
PU-GSP-81,PU-GSP-81,49,46,1.612,0.052,0.003,GSP,M,20,0.07,0.064,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.372208437,0.372208437,T,1
PU-KSS-45,PU-KSS-45,54,51,2.315,0.061,0.029,KSS,F,20,0.09,0.064,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/2/2021,3,1.123110151,1.123110151,T,3
PU-GSP-58,PU-GSP-58,49,45,1.793,0.028,0.025,GSP,F,22,0.078,0.065,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.004,6/2/2021,3,0.725041829,0.948131623,T,1
PU-KSB-64,PU-KSB-64,52,49,1.915,0.034,0.018,KSB,F,20,0.07,0.066,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/3/2021,5,0.208877,0.208877285,T,2
PU-KSB-33,PU-KSB-33,53,50,2.096,0.034,0.003,KSB,M,20,0.105,0.068,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.016,0,0,0,0,0,0,0,0,0.016,11/2/2021,3,1.765267176,2.528625954,T,1
PU-GSP-112,PU-GSP-112,47,44,1.48,0.03,0.029,GSP,F,22,0.074,0.069,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2021,5,0.337837838,0.337837838,T,1
PU-GSP-174,PU-GSP-174,48,45,1.621,0.038,0.038,GSP,F,23,0.118,0.069,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.037,0,0,0,0,0,0,0,0,0,0,0.037,20/4/2021,8,3.022825416,5.305367057,T,1
PU-GSP-80,PU-GSP-80,48,45,1.593,0.049,0.024,GSP,F,22,0.08,0.069,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,19/2/2021,4,0.69052103,0.878844947,T,1
PU-GSP-111,PU-GSP-111,46,43,1.501,0.045,0.007,GSP,M,20,0.073,0.07,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2021,5,0.199866755,0.199866755,T,1
PU-GSP-175,PU-GSP-175,46,44,1.528,0.033,0.024,GSP,F,20,0.106,0.07,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,20/4/2021,8,2.356020942,3.534031414,T,1
PU-KSS-39,PU-KSS-39,55,52,2.426,0.053,0.034,KSS,F,22,0.102,0.071,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.015,0,0,0,0,0,0,0,0,0,0,0.015,9/2/2021,3,1.277823578,1.896125309,T,3
PU-GSP-73,PU-GSP-73,49,48,1.736,0.056,0.031,GSP,F,22,0.08,0.072,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,19/2/2021,4,0.460829493,0.51843318,T,2
PU-GSP-82,PU-GSP-82,51,48,1.959,0.064,0.033,GSP,F,22,0.081,0.075,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.306278714,0.306278714,T,1
