FishCode,Pond,SizeClass,SizeClass_Eco,AssayClass,TLEN,FLEN,RWT,Liver,Gonad,SexStage,Sex,Stage,Fgut,Egut,Contents,Fullness,Rock_num,Rock_mass,DigestedArthropoda_num,DigestedArthropoda_mass,TerrestrialInvert_num,TerrestrialInvert_num,Cambaridae_num,Cambaridae_mass,Corixidae_num,Corixidae_mass,Dytiscidae_num,Dytiscidae_mass,Belostomatidae_num,Belostomatidae_mass,Amphipoda_num,Amphipoda_mass,Bivalvia_num,Bivalvia_mass,Gastropoda_num,Gastropoda_mass,Hydrachnidia_num,Hydrachnidia_mass,CladCop_num,CladCop_mass,Anisoptera_num,Anisoptera_mass,Zygoptera_num,Zygoptera_mass,Chaoboridae_num,Chaoboridae_mass,Chironomidae_num,Chironomidae_mass,Tipulidae_num,Tipulidae_mass,Stratiomyidae_num,Stratiomyidae_mass,Trichoptera_num,Trichoptera_mass,Ephemeroptera_num,Ephemeroptera_mass,Hirudinae_num,Hirudinae_mass,Oligochaeta_num,Oligochaeta_mass,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,ContentMass,Date,Day,Month,Year,FormDate,JulianDate,Sample,Comments,GSI,HSI,SHSI,GUSI,GFI,GFI2,CaptureMethod,ParasiteLoad,PS_WB_YG,PS_WB_BS,PS_MU_BS,PS_MU_YG,MesLip,MesInd,MusLipP,LivProt,GonProt
PU-GBP-1,GBP,I,I,G,99,94,18.614,0.362,0.194,F22,F,22,0.883,0.794,Odonate larvae,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.05320304,1.983344291,2.004651678,4.455667789,0.478134737,,,,,,,,,,,,
PU-GBP-2,GBP,I,I,G,88,84,10.99,0.157,0.142,F22,F,22,0.499,0.455,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Na,1.30899705,1.449275362,1.468524928,4.140127389,0.400363967,,,,,,,,,,,,
PU-GBP-3,GBP,I,I,G,97,91,16.861,0.384,0.239,F22,F,22,0.84,0.792,Inerts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Na,1.437853447,2.330521333,2.364823254,4.697230295,0.284680624,,,,,,,,,,,,
PU-GBP-4,GBP,I,S,G,71,67,5.298,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Too small/squished,,,,,,,,,,,,,,,,,
PU-GBP-5,GBP,I,S,G,74,70,6.553,0.122,0.089,F22,F,22,0.281,0.269,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.376856436,1.89706111,1.923683381,4.104990081,0.183122234,,,,,,,,,,,,
PU-GBP-6,GBP,I,S,G,72,67,6.045,0.155,0.005,M22,M,22,0.286,0.261,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Gonads very small,0.082781457,2.631578947,2.633814783,4.317617866,0.41356493,,,,,,,,,,,,
PU-GBP-7,GBP,I,I,G,89,83,11.509,0.225,0.013,M22,M,22,0.511,0.49,Mt,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,0.113082811,1.993973768,1.996273623,4.257537579,0.182465896,,,,,,,,,,,,
PU-GBP-8,GBP,I,S,G,84,79,10.655,0.176,0.153,F22,F,22,0.355,0.345,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.456865359,1.679549575,1.704435406,3.237916471,0.093852651,,,,,,,,,,,,
PU-GBP-9,GBP,I,S,G,74,70,7.318,0.121,0.103,F22,F,22,0.333,0.31,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.427581428,1.681256079,1.705666761,4.23613009,0.314293523,,,,,,,,,,,,
PU-GBP-10,GBP,I,S,G,71,62,5.611,0.12,0.002,M22,M,22,0.274,0.234,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Gonads very small,0.03565698,2.185394282,2.186190563,4.170379611,0.712885404,,,,,,,,,,,,
PU-GBP-11,GBP,I,I,G,86,81,11.8,0.241,0.182,F22,F,22,0.775,0.502,Leech,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,353,1,NA,1.566534688,2.084955446,2.118308869,4.254237288,2.313559322,,,,,,,,,,,,
PU-GBP-12,GBP,I,S,G,82,77,9.023,0.208,0.125,F22,F,22,0.436,0.401,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,353,1,NA,1.40481007,2.359614294,2.393555811,4.44419816,0.387897595,,,,,,,,,,,,
PU-GBP-13,GBP,I,IMM,G,61,57,3.438,0.075,0.005,M22,M,22,0.14,0.134,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,0.145645208,2.23015165,2.233472305,3.897614892,0.17452007,,T,,,,,,,,,,
PU-GBP-14,GBP,I,S,G,73,70,6.538,0.156,0.007,M22,M,22,0.282,0.272,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,0.107181136,2.444374804,2.447058824,4.160293668,0.152951973,,T,,,,,,,,,,
PU-GBP-15,GBP,S,IMM,N,59,55,3.056,0.054,0.007,M22,M,22,0.101,0.097,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,0.22958347,1.798800799,1.803005008,3.17408377,0.130890052,,T,,,,,,,,,,
PU-GBP-16,GBP,I,IMM,G,63,59,4.102,0.065,0.054,F22,F,22,0.149,0.143,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.333992095,1.610106515,1.631935727,3.486104339,0.146270112,,T,,,,,,,,,,
PU-GBP-17,GBP,S,IMM,N,55,51,2.548,0.04,0.043,F22,F,22,0.098,0.093,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.716566866,1.594896332,1.622718053,3.649921507,0.196232339,,T,,,,,,,,,,
PU-GBP-18,GBP,I,IMM,G,63,60,4.3,0.094,0.054,F22,F,22,0.157,0.151,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.27178521,2.23490252,2.263969171,3.511627907,0.139534884,,T,,,,,,,,,,
PU-GBP-19,GBP,I,S,G,83,78,9.37,0.202,0.011,M22,M,22,0.439,0.423,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,0.117533925,2.203315881,2.205962652,4.514407684,0.170757737,,T,,,,,,,,,,
PU-GBP-20,GBP,S,IMM,N,53,49,2.052,0.05,0.03,F22,F,22,0.083,0.079,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.483679525,2.497502498,2.535496957,3.849902534,0.194931774,,T,,,,,,,,,,
PU-GBP-21,GBP,S,IMM,N,59,55,3.366,0.076,0.008,M22,M,22,0.132,0.129,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,0.238237046,2.310030395,2.315661182,3.832442068,0.08912656,,T,,,,,,,,,,
PU-GBP-22,GBP,I,I,G,87,82,11.366,0.272,0.137,F22,F,22,0.463,0.43,1 damselfly larva,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.220055214,2.451775735,2.482431322,3.783213092,0.290339609,,T,,,,,,,,,,
PU-GBP-23,GBP,I,IMM,G,64,60,4.315,0.105,0.062,F22,F,22,0.2,0.19,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.457794498,2.494061758,2.531340405,4.403244496,0.23174971,,T,,,,,,,,,,
PU-GBP-24,GBP,I,S,G,71,65,5.44,0.119,0.008,M22,M,22,0.254,0.239,1 chironomid,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,0.147275405,2.236421725,2.239789196,4.393382353,0.275735294,,T,,,,,,,,,,
PU-GBP-25,GBP,I,S,G,65,,4.467,0.102,0.068,F22,F,22,0.194,0.188,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.545805865,2.336769759,2.373749127,4.208641146,0.134318334,,T,,,,,,,,,,
PU-GBP-26,GBP,I,S,G,71,65,5.735,0.118,0.073,F22,F,22,0.238,0.229,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.289297068,2.100765533,2.128427128,3.993025283,0.156931125,,T,,,,,,,,,,
PU-GBP-27,GBP,S,IMM,N,57,54,2.958,0.044,0.038,F22,F,22,0.105,0.1,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.301369863,1.509951956,1.529902643,3.38066261,0.16903313,,T,,,,,,,,,,
PU-GBP-28,GBP,I,S,G,65,60,4.819,0.121,0.048,F22,F,22,0.256,0.245,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.00607839,2.57556407,2.602150538,5.084042332,0.228263125,,T,,,,,,,,,,
PU-GBP-29,GBP,S,IMM,N,59,56,3.069,0.057,0.05,F22,F,22,0.125,0.118,1 chironomid,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,1.656177542,1.892430279,1.924375422,3.844900619,0.228087325,,T,,,,,,,,,,
PU-GBP-30,GBP,S,IMM,N,57,53,2.853,0.051,0.003,M22,M,22,0.096,0.09,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/01/2021,18,1,2021,1/18/2021,18,2,Trapped,0.105263158,1.82012848,1.822079314,3.154574132,0.210304942,,T,,,,,,,,,,
PU-GBP-31,GBP,I,S,G,77,73,7.405,0.181,0.008,M22,M,22,0.292,0.27,2 chironomids: 0.005,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.005,,,,,,,,,,,,,,,,,,,,,,,,,0.005,6/2/2021,6,2,2021,2/6/2021,37,3,"Trapped dead, no parasites",0.108151953,2.505537099,2.508314856,3.64618501,0.297096556,0.364618501,T,1,,,,,,,,,
PU-GBP-32,GBP,I,S,G,65,62,4.232,0.109,0.008,M22,M,22,0.211,0.192,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6/2/2021,6,2,2021,2/6/2021,37,3,"Trapped dead, no parasites",0.189393939,2.643706039,2.648845687,4.536862004,0.448960302,0.448960302,T,1,,,,,,,,,
PU-GSP-1,GSP,I,I,G,86,79,10.914,0.196,0.144,F22,F,22,0.36,0.349,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.337047354,1.828699384,1.853603178,3.197727689,0.100787979,,,,,,,,,,,,
PU-GSP-2,GSP,I,I,G,89,84,11.271,0.171,0.002,M22,M,22,0.452,0.442,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Gonads very small,0.017747804,1.540540541,1.540818165,3.921568627,0.088723272,,,,,,,,,,,,
PU-GSP-3,GSP,I,I,G,88,84,10.828,0.219,0.194,F22,F,22,0.491,0.44,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,"Eye parasite, gonads pronounced",1.824337032,2.064285041,2.102736438,4.063538973,0.471001108,,,,,,,,,,,,
PU-GSP-4,GSP,I,I,G,87,80,11.733,0.3,0.155,F22,F,22,0.407,0.396,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.338745897,2.623983207,2.660046107,3.375095883,0.093752663,,,,,,,,,,,,
PU-GSP-5,GSP,I,S,G,83,79,9.596,0.171,,M22,M,22,0.441,0.421,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Gonads lost,,1.814323607,1.814323607,4.387244685,0.208420175,,,,,,,,,,,,
PU-GSP-6,GSP,I,S,G,80,76,8.632,0.189,0.014,M22,M,22,0.44,0.421,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,0.162450685,2.238540803,2.242258868,4.877201112,0.220111214,,,,,,,,,,,,
PU-GSP-7,GSP,I,I,G,86,80,11.066,0.255,0.147,F22,F,22,,0.382,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.346277132,2.358708723,2.391222806,3.452015182,,,,,,,,,,,,,
PU-GSP-8,GSP,I,S,G,82,77,9.559,0.276,0.14,F22,F,22,0.383,0.373,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.486357363,2.973176775,3.018702833,3.902081808,0.104613453,,,,,,,,,,,,
PU-GSP-9,GSP,I,S,G,78,74,8.228,0.165,0.126,F22,F,22,0.315,0.307,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,NA,1.555171563,2.04638472,2.07887111,3.731161886,0.097228974,,,,,,,,,,,,
PU-GSP-10,GSP,I,S,G,78,74,7.843,0.144,0.123,F22,F,22,0.365,0.352,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/12/2020,18,12,2020,12/18/2020,353,1,Big tail parasite,1.593264249,1.870372776,1.900739176,4.488078541,0.165752901,,,,,,,,,,,,
PU-GSP-11,GSP,I,B,N,143,136,54.958,0.652,0.704,F22,F,22,2.257,2.221,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,Parasites,1.297600177,1.200603985,1.216372523,4.041267877,0.065504567,,,,,,,,,,,,
PU-GSP-12,GSP,I,B,N,144,137,58.219,1.215,0.919,F22,F,22,3.227,3.133,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,1.603839442,2.131429373,2.16635464,5.381404696,0.161459317,,,,,,,,,,,,
PU-GSP-13,GSP,I,B,N,144,137,,0.957,0.066,M22,M,22,2.849,2.566,Odonate larvae,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,,,,,,,,,,,,,,,,,
PU-GSP-14,GSP,I,B,N,128,121,35.942,0.558,0.037,M22,M,22,1.814,1.795,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,0.103049715,1.576983948,1.578634679,4.994157253,0.052862946,,,,,,,,,,,,
PU-GSP-15,GSP,I,B,N,121,114,27.688,0.396,0.354,F22,F,22,2.032,1.571,"Cranefly larva, caddisfly larva",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,Parasites,1.295090364,1.450974645,1.470042319,5.673938168,1.664981219,,,,,,,,,,,,
PU-GSP-16,GSP,B,B,N,156,149,73.626,1.139,0.107,M22,M,22,2.415,2.409,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,0.145540609,1.571316236,1.573639127,3.271941977,0.008149295,,,,,,,,,,,,
PU-GSP-17,GSP,I,B,N,123,116,34.105,0.481,0.486,F22,F,22,1.344,1.3,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,1.445611113,1.430525815,1.451505824,3.811757807,0.129013341,,,,,,,,,,,,
PU-GSP-18,GSP,I,S,G,74,70,6.518,0.151,0.119,F22,F,22,0.315,0.308,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,1.859665573,2.371603581,2.416773367,4.725375882,0.107394906,,,,,,,,,,,,
PU-GSP-19,GSP,I,I,G,87,82,11.378,0.289,0.011,M22,M,22,0.562,0.55,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,0.096771356,2.606186311,2.608774147,4.833889963,0.10546669,,,,,,,,,,,,
PU-GSP-20,GSP,I,S,G,83,78,10.288,0.299,0.168,F22,F,22,0.49,0.482,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,1.660079051,2.993292622,3.044496487,4.685069984,0.077760498,,,,,,,,,,,,
PU-GSP-21,GSP,I,B,N,141,133,52.563,0.857,0.084,M22,M,22,2.334,2.27,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,0.160064026,1.657447878,1.660144899,4.318627171,0.121758652,,,,,,,,,,,,
PU-GSP-22,GSP,I,I,G,107,101,20.994,0.37,0.334,F22,F,22,,1.053,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/12/2020,19,12,2020,12/19/2020,354,1,NA,1.616650532,1.794026377,1.823558403,5.015718777,,,,,,,,,,,,,
PU-GSP-23,GSP,I,IMM,G,62,59,4.05,0.11,0.069,F22,F,22,0.181,0.16,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.733232856,2.791878173,2.841642986,3.950617284,0.518518519,,T,,0,0,,,0.0175,4.742547425,4.635,,105.8071493
PU-GSP-24,GSP,I,S,G,68,65,5.229,0.158,0.103,F22,F,22,0.287,0.26,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,2.009364027,3.115756261,3.180354267,4.972270033,0.516351119,,T,,,,,,,,,,
PU-GSP-25,GSP,I,I,G,92,88,13.913,0.389,0.212,F22,F,22,0.517,0.5,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.547332312,2.876367938,2.922175481,3.593761231,0.122187882,,T,,,,,,,,,,
PU-GSP-26,GSP,S,IMM,N,56,53,2.964,0.068,0.047,F22,F,22,0.136,0.122,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.611244429,2.348066298,2.386802387,4.116059379,0.472334683,,T,,,,,,,,,,
PU-GSP-27,GSP,I,S,G,84,80,11.177,0.351,0.012,M22,M,22,0.47,0.445,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,0.107478728,3.242194716,3.245792491,3.981390355,0.223673615,,T,,,,,,,,,,
PU-GSP-28,GSP,S,IMM,G,60,57,3.902,0.086,0.075,F22,F,22,0.17,0.163,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.959759603,2.253668763,2.298850575,4.177344951,0.179395182,,T,,,,,,,,,,
PU-GSP-29,GSP,I,S,G,80,76,9.412,0.324,0.153,F22,F,22,0.336,0.324,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.652446268,3.565140845,3.626189144,3.44241394,0.127496813,,T,,,,,,,,,,
PU-GSP-30,GSP,I,S,G,69,66,5.809,0.159,0.076,F22,F,22,0.304,0.263,Inverts,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.325658469,2.814159292,2.852529602,4.527457394,0.705801343,,T,,0,2,,,0.0245,4.648956357,5.822,69.49159641,100.064709
PU-GSP-31,GSP,I,I,G,86,81,10.307,0.18,0.015,M22,M,22,0.368,0.358,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,0.145744267,1.777426681,1.780063291,3.473367614,0.097021442,,T,,,,,,,,,,
PU-GSP-32,GSP,I,S,G,79,75,8.252,0.183,0.124,F22,F,22,0.341,0.321,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.525590551,2.267939026,2.303335431,3.889966069,0.242365487,,T,,0,3,,,0.0012,0.157811678,5.172,71.45644235,99.3767562
PU-GSP-33,GSP,I,S,G,83,79,10.37,0.272,0.165,F22,F,22,0.396,0.386,MT,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/2021,16,1,2021,1/16/2021,16,2,Trapped,1.616854483,2.693602694,2.738346924,3.722275796,0.096432015,,T,,0,0,,,0.0464,4.865261613,3.881,67.3919493,93.63566526
