Period,Pond,MeasuredDate,Serial,Julian,Temp
Historical,Waldon,05-Mar-71,25997,64,0.222
Historical,Waldon,19-May-71,26072,139,20.9
Historical,Waldon,14-Jun-71,26098,165,24.7
Historical,Waldon,02-Jul-71,26116,183,24.3
Historical,Waldon,27-Jul-71,26141,208,19.6
Historical,Waldon,05-Mar-71,25997,64,0.278
Historical,Waldon,19-May-71,26072,139,19.9
Historical,Waldon,27-Jul-71,26141,208,21.2
Historical,Waldon,21-Sep-71,26197,264,18.1
Historical,Waldon,29-Dec-71,26296,363,1.1
Historical,Waldon,25-Jan-72,26323,25,0.277
Historical,Waldon,29-Feb-72,26358,60,0.555
Historical,Waldon,20-Mar-72,26378,80,1.11
Historical,Waldon,26-May-72,26445,147,20.9
Historical,Waldon,15-Jun-72,26465,167,19.6
Historical,Waldon,25-Jul-72,26505,207,24.3
Historical,Waldon,03-Aug-72,26514,216,21.6
Historical,Waldon,05-Sep-72,26547,249,19.4
Historical,Waldon,02-Jan-73,26666,2,0.2
Historical,Waldon,24-Jan-73,26688,24,0.8
Historical,Waldon,26-Feb-73,26721,57,1
Historical,Waldon,16-May-73,26800,136,13
Historical,Waldon,03-Jul-73,26848,184,28
Historical,Waldon,30-Jul-73,26875,211,25
Historical,Waldon,02-Aug-73,26878,214,23.4
Historical,Waldon,07-Sep-73,26914,250,22.8
Historical,Waldon,22-Oct-73,26959,295,10
Historical,Waldon,05-Feb-74,27065,36,0.5
Historical,Waldon,14-Mar-74,27102,73,1.1
Historical,Waldon,08-May-74,27157,128,9.8
Historical,Waldon,20-Jun-74,27200,171,19.1
Historical,Waldon,08-Jul-74,27218,189,25.1
Historical,Waldon,30-Jul-74,27240,211,23.2
Historical,Waldon,23-Aug-74,27264,235,25.4
Historical,Waldon,09-Oct-74,27311,282,10.7
Historical,Waldon,05-Feb-74,27065,36,0.2
Historical,Waldon,08-May-74,27157,128,10
Historical,Waldon,20-Jun-74,27200,171,17.5
Historical,Waldon,08-Jul-74,27218,189,24
Historical,Waldon,30-Jul-74,27240,211,23.5
Historical,Waldon,23-Aug-74,27264,235,25
Historical,Waldon,09-Oct-74,27311,282,10.5
Historical,Waldon,03-Mar-75,27456,62,0.3
Historical,Waldon,11-Jun-75,27556,162,21.1
Historical,Waldon,02-Jul-75,27577,183,28.3
Historical,Waldon,15-Jul-75,27590,196,24
Historical,Waldon,17-Jul-75,27592,198,24.6
Historical,Waldon,28-Jul-75,27603,209,22.1
Historical,Waldon,12-Aug-75,27618,224,25.8
Historical,LOM,1972,,70,0.9
Historical,LOM,1972,,80,1.4
Historical,LOM,1972,,90,2.1
Historical,LOM,1972,,100,3.1
Historical,LOM,1972,,110,4.3
Historical,LOM,1972,,120,6.1
Historical,LOM,1972,,130,9.4
Historical,LOM,1972,,140,13.8
Historical,LOM,1972,,150,16.7
Historical,LOM,1972,,160,18.9
Historical,LOM,1972,,170,20.4
Historical,LOM,1972,,180,21.7
Historical,LOM,1972,,190,22.6
Historical,LOM,1972,,200,22.9
Historical,LOM,1972,,210,22.9
Historical,LOM,1972,,220,22.6
Historical,LOM,1972,,230,21.5
Historical,LOM,1972,,240,20.3
Historical,LOM,1972,,250,18.9
Historical,LOM,1972,,260,17.5
Historical,LOM,1972,,270,15.7
Historical,LOM,1972,,280,13.6
Historical,LOM,1972,,290,11.5
Historical,LOM,1972,,300,9.3
Historical,LOM,1972,,310,7.1
Historical,LOM,1972,,320,4.7
Historical,LOM,1972,,330,3
Historical,LOM,1972,,340,2.1
Historical,LOM,1972,,350,1.6
Historical,LOM,1972,,360,1.1
Historical,LOM,1973,,40,0.6
Historical,LOM,1973,,50,1
Historical,LOM,1973,,60,1.5
Historical,LOM,1973,,70,2.6
Historical,LOM,1973,,80,3.8
Historical,LOM,1973,,90,5.1
Historical,LOM,1973,,100,6.6
Historical,LOM,1973,,110,8
Historical,LOM,1973,,120,9.6
Historical,LOM,1973,,130,11.8
Historical,LOM,1973,,140,14.3
Historical,LOM,1973,,150,17
Historical,LOM,1973,,160,19.1
Historical,LOM,1973,,170,20.9
Historical,LOM,1973,,180,22.1
Historical,LOM,1973,,190,23.3
Historical,LOM,1973,,200,23.9
Historical,LOM,1973,,210,24.2
Historical,LOM,1973,,220,24.2
Historical,LOM,1973,,230,23.7
Historical,LOM,1973,,240,22.9
Historical,LOM,1973,,250,21.5
Historical,LOM,1973,,260,19.4
Historical,LOM,1973,,270,17.1
Historical,LOM,1973,,280,14.6
Historical,LOM,1973,,290,12.7
Historical,LOM,1973,,300,10.5
Historical,LOM,1973,,310,8.2
Historical,LOM,1973,,320,6.1
Historical,LOM,1973,,330,4.6
Historical,LOM,1973,,340,3.7
Historical,LOM,1973,,350,2.7
Historical,LOM,1973,,360,1.9
Historical,LOM,1974,,70,1.6
Historical,LOM,1974,,80,2.2
Historical,LOM,1974,,90,3.3
Historical,LOM,1974,,100,4.7
Historical,LOM,1974,,110,6.4
Historical,LOM,1974,,120,8.8
Historical,LOM,1974,,130,11
Historical,LOM,1974,,140,13.3
Historical,LOM,1974,,150,15.5
Historical,LOM,1974,,160,17.5
Historical,LOM,1974,,170,19.3
Historical,LOM,1974,,180,20.6
Historical,LOM,1974,,190,21.6
Historical,LOM,1974,,200,22.3
Historical,LOM,1974,,210,22.6
Historical,LOM,1974,,220,22.4
Historical,LOM,1974,,230,21.7
Historical,LOM,1974,,240,20.6
Historical,LOM,1974,,250,19
Historical,LOM,1974,,260,17
Historical,LOM,1974,,270,15.2
Historical,LOM,1974,,280,13
Historical,LOM,1974,,290,11
Historical,LOM,1974,,300,8.6
Historical,LOM,1974,,310,6.5
Historical,LOM,1974,,320,4.3
Historical,LOM,1974,,330,2.7
Historical,LOM,1974,,340,1.9
Contemporary,KSS,,,355,4.415
Contemporary,KSS,,,355,4.415
Contemporary,KSS,,,355,4.727
Contemporary,KSS,,,355,4.831
Contemporary,KSS,,,355,4.831
Contemporary,KSS,,,355,4.934
Contemporary,KSS,,,355,4.934
Contemporary,KSS,,,355,4.934
Contemporary,KSS,,,355,4.934
Contemporary,KSS,,,355,4.934
Contemporary,KSS,,,355,5.037
Contemporary,KSS,,,355,4.934
Contemporary,KSS,,,355,5.037
Contemporary,KSS,,,355,5.037
Contemporary,KSS,,,355,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.141
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.141
Contemporary,KSS,,,356,5.141
Contemporary,KSS,,,356,5.141
Contemporary,KSS,,,356,5.141
Contemporary,KSS,,,356,5.141
Contemporary,KSS,,,356,5.141
Contemporary,KSS,,,356,4.934
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,5.037
Contemporary,KSS,,,356,4.934
Contemporary,KSS,,,356,4.934
Contemporary,KSS,,,356,4.934
Contemporary,KSS,,,356,4.934
Contemporary,KSS,,,357,4.934
Contemporary,KSS,,,357,4.934
Contemporary,KSS,,,357,4.934
Contemporary,KSS,,,357,4.934
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.141
Contemporary,KSS,,,357,5.141
Contemporary,KSS,,,357,5.141
Contemporary,KSS,,,357,5.244
Contemporary,KSS,,,357,5.244
Contemporary,KSS,,,357,5.244
Contemporary,KSS,,,357,5.141
Contemporary,KSS,,,357,5.141
Contemporary,KSS,,,357,4.934
Contemporary,KSS,,,357,4.934
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,357,5.037
Contemporary,KSS,,,358,5.037
Contemporary,KSS,,,358,5.037
Contemporary,KSS,,,358,5.037
Contemporary,KSS,,,358,5.037
Contemporary,KSS,,,358,4.934
Contemporary,KSS,,,358,4.727
Contemporary,KSS,,,358,4.623
Contemporary,KSS,,,358,4.831
Contemporary,KSS,,,358,4.934
Contemporary,KSS,,,358,4.934
Contemporary,KSS,,,358,5.141
Contemporary,KSS,,,358,5.141
Contemporary,KSS,,,358,5.244
Contemporary,KSS,,,358,5.244
Contemporary,KSS,,,358,5.347
Contemporary,KSS,,,358,5.347
Contemporary,KSS,,,358,5.347
Contemporary,KSS,,,358,5.347
Contemporary,KSS,,,358,5.244
Contemporary,KSS,,,358,5.244
Contemporary,KSS,,,358,5.141
Contemporary,KSS,,,358,5.141
Contemporary,KSS,,,358,5.141
Contemporary,KSS,,,358,5.141
Contemporary,KSS,,,359,5.141
Contemporary,KSS,,,359,5.141
Contemporary,KSS,,,359,5.037
Contemporary,KSS,,,359,5.037
Contemporary,KSS,,,359,5.037
Contemporary,KSS,,,359,5.037
Contemporary,KSS,,,359,5.141
Contemporary,KSS,,,359,5.037
Contemporary,KSS,,,359,5.141
Contemporary,KSS,,,359,5.141
Contemporary,KSS,,,359,5.141
Contemporary,KSS,,,359,5.141
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.347
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.347
Contemporary,KSS,,,359,5.347
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,359,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.347
Contemporary,KSS,,,360,5.347
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.347
Contemporary,KSS,,,360,5.347
Contemporary,KSS,,,360,5.347
Contemporary,KSS,,,360,5.45
Contemporary,KSS,,,360,5.45
Contemporary,KSS,,,360,4.207
Contemporary,KSS,,,360,5.037
Contemporary,KSS,,,360,5.141
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.141
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,360,5.244
Contemporary,KSS,,,361,5.244
Contemporary,KSS,,,361,5.244
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.347
Contemporary,KSS,,,361,5.45
Contemporary,KSS,,,361,5.45
